분야,질문명,등록일,답변제목,답변등록일,댓글등록일,댓글등록자,댓글내용
노사협력(노사·근로),복수노조 단체협약 효력 적용 관련 질의,2011-05-06 17:34:40.0,   [답변] 복수노조 단체협약 효력 적용 관련 질의,2011-05-11 13:28:01.0,,,
노사협력(노사·근로),단체협약에 따라 지급하는 목욕권이 복리후생비에 해당되는지,2011-05-24 15:34:48.0,      [답변] 단체협약에 따라 지급하는 목욕권이 복리후생비에 해당되는지,2011-05-30 12:39:23.0,,,
노사협력(노사·근로),근로시간면제제도관련한 신고사건,2011-06-29 10:08:39.0, [답변] 근로시간면제제도관련한 신고사건,2011-06-30 14:54:35.0,,,
노사협력(노사·근로),항운노조 관련 질문,2011-08-25 13:59:01.0, [답변] 항운노조 관련 질문,2011-08-29 11:30:54.0,,,
노사협력(노사·근로),노동조합측의 조합원명단 제출거부로 인한 사측의 단체교섭 해태,2012-01-06 12:00:08.0,   [답변] 노동조합측의 조합원명단 제출거부로 인한 사측의 단체교섭 해태,2012-01-09 10:14:26.0,,,
노사협력(노사·근로),유니온숍 협정에 대한 질의...,2012-07-19 12:39:27.0,   [답변] 유니온숍 협정에 대한 질의...,2012-07-20 15:24:38.0,,,
노사협력(노사·근로),채무적부분인지 규범적 부분인지,2012-12-27 13:32:32.0,  [답변] 채무적부분인지 규범적 부분인지,2013-01-02 11:05:20.0,,,
노사협력(노사·근로),노사협의회 사용자위원이 될 수 있는 지? 알고 싶습니다,2013-06-04 14:00:51.0,[답변] 노사협의회 사용자위원이 될 수 있는 지? 알고 싶습니다,2013-06-07 11:18:58.0,,,
노사협력(노사·근로),A사업장의 기업노조에  B기업 근로자들이 지부로 가입할 수 있나요? ,2013-12-12 11:28:40.0,[답변] A사업장의 기업노조에  B기업 근로자들이 지부로 가입할 수 있나요? ,2013-12-16 13:37:56.0,,,
노사협력(노사·근로),대표자 변경에 따른 형사책임??,2014-11-14 15:26:01.0,[답변] 대표자 변경에 따른 형사책임??,2014-11-17 11:13:11.0,,,
노사협력(노사·근로),노조합의 효력,2014-12-12 11:48:16.0,[답변] 노조합의 효력,2014-12-16 10:52:36.0,,,
노사협력(노사·근로),안녕하세요 항운노동조합 관련 질문입니다.,2016-03-04 10:34:00.0,[답변] 안녕하세요 항운노동조합 관련 질문입니다.,2016-03-07 15:26:30.0,,,
노사협력(노사·근로),단체협약 위반 진정사건입니다.,2016-06-30 16:54:11.0, [답변] 단체협약 위반 진정사건입니다.,2016-07-01 10:30:57.0,,,
노사협력(노사·근로),노조원인 버스운전기사의 노조조끼 착용이 쟁의행위에 해당되는지,2016-12-06 18:37:38.0,[답변] 노조원인 버스운전기사의 노조조끼 착용이 쟁의행위에 해당되는지,2016-12-07 15:42:57.0,,,
노사협력(노사·근로),노조원이 없는....,2017-05-18 09:52:37.0,[답변] 노조원이 없는....,2017-05-18 15:57:18.0,,,
노사협력(노사·근로),교섭대표 노조 결정에 관해,2017-05-24 11:58:46.0, [답변] 교섭대표 노조 결정에 관해,2017-05-24 15:01:57.0,,,
